MAKE,MODEL,MODEL_YR,BODY_STYLE,BLIND_SPOT_DETECTION,ARS,AUTO_CRASH_NOTIFICATION,FRNT_COLLISION_WARNING,LANE_DEPARTURE_WARNING,CRASH_IMMINENT_BRAKE,DYNAMIC_BRAKE_SUPPORT,NHTSA_ESC
GENESIS,GV70,2026,SUV, , , ,,, , ,
TOYOTA,CROWN HYBRID,2026,4 DR, , , ,,, , ,
ACURA,ADX,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
ACURA,ADX,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
ACURA,INTEGRA,2025,5 HB,Standard,Standard, ,Standard,Standard,Standard,Standard,
ACURA,INTEGRA TYPE-S,2025,5 HB,Standard,Standard, ,Standard,Standard,Standard,Standard,
ACURA,MDX,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
ACURA,MDX,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
ACURA,RDX,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
ACURA,RDX,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
ACURA,TLX,2025,4 DR,Standard,Standard, ,Standard,Standard,Standard,Standard,
ACURA,TLX,2025,4 DR,Standard,Standard, ,Standard,Standard,Standard,Standard,
ACURA,ZDX,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
ACURA,ZDX,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
ALFA,GIULIA,2025,4 DR,Standard,Standard, ,Standard,Standard,Standard,Standard,
ALFA,GIULIA,2025,4 DR,Standard,Standard, ,Standard,Standard,Standard,Standard,
ALFA,STELVIO,2025,SUV, , , ,,, , ,
ALFA,TONALE EAWD,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
AUDI,A4,2025,4 DR,Optional,Standard, ,Standard,Standard,Standard,Standard,
AUDI,A4 ALLROAD,2025,SW,Optional,Standard, ,Standard,Standard,Standard,Standard,
AUDI,A5 SPORTBACK,2025,4 DR,Optional,Standard, ,Standard,Standard,Standard,Standard,
AUDI,A6 ALLROAD,2025,SW,Optional,Standard, ,Standard,Standard,Standard,Standard,
AUDI,A6 SEDAN,2025,4 DR,Optional,Standard, ,Standard,Standard,Standard,Standard,
AUDI,A7,2025,4 DR,Optional,Standard, ,Standard,Standard,Standard,Standard,
AUDI,A8 LWB,2025,4 DR,Optional,Standard, ,Standard,Standard,Standard,Standard,
AUDI,Q3,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
AUDI,Q4 E-TRON,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
AUDI,Q4 E-TRON,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
AUDI,Q4 SPORTBACK E-TRON,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
AUDI,Q5,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
AUDI,Q5 PHEV,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
AUDI,Q5 SPORTBACK,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
AUDI,Q6 E-TRON,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
AUDI,Q6 E-TRON,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
AUDI,Q6 SPORTBACK E-TRON,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
AUDI,Q7,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
AUDI,Q8,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
AUDI,Q8 E-TRON,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
AUDI,Q8 SPORTBACK E-TRON,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
AUDI,RS 5 SPORTBACK,2025,4 DR,Optional,Standard, ,Standard,Standard,Standard,Standard,
AUDI,RS 6 AVANT PERFORMANCE,2025,SW,Optional,Standard, ,Standard,Standard,Standard,Standard,
AUDI,RS 7 PERFORMANCE,2025,4 DR,Optional,Standard, ,Standard,Standard,Standard,Standard,
AUDI,RS Q8 PERFORMANCE,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
AUDI,S4,2025,4 DR,Optional,Standard, ,Standard,Standard,Standard,Standard,
AUDI,S5 SPORTBACK,2025,4 DR,Optional,Standard, ,Standard,Standard,Standard,Standard,
AUDI,S6 SEDAN,2025,4 DR,Optional,Standard, ,Standard,Standard,Standard,Standard,
AUDI,S7,2025,4 DR,Optional,Standard, ,Standard,Standard,Standard,Standard,
AUDI,S8 LWB,2025,4 DR,Optional,Standard, ,Standard,Standard,Standard,Standard,
AUDI,SQ5,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
AUDI,SQ5 SPORTBACK,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
AUDI,SQ6 E-TRON,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
AUDI,SQ6 SPORTBACK E-TRON,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
AUDI,SQ7,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
AUDI,SQ8,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
AUDI,SQ8 E-TRON,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
AUDI,SQ8 SPORTBACK E-TRON,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
BMW,2 SERIES GRAN COUPE,2025,4 DR, ,Standard, ,,, , ,
BMW,2 SERIES GRAN COUPE,2025,4 DR, ,Standard, ,,, , ,
BMW,3 SERIES SEDAN,2025,4 DR, ,Standard, ,,, , ,
BMW,3 SERIES SEDAN,2025,4 DR, ,Standard, ,,, , ,
BMW,5 SERIES HYBRID SEDAN,2025,4 DR, ,Standard, ,,, , ,
BMW,7 SERIES HYBRID SEDAN,2025,4 DR, ,Standard, ,,, , ,
BMW,M5 HYBRID SEDAN,2025,4 DR, ,Standard, ,,, , ,
BMW,M5 HYBRID WAGON,2025,4 DR, ,Standard, ,,, , ,
BMW,X1,2025,SUV, ,Standard, ,,, , ,
BMW,X3,2025,SUV, ,Standard, ,,, , ,
BMW,X5,2025,SUV, ,Standard, ,,, , ,
BMW,X5,2025,SUV, ,Standard, ,,, , ,
BRIGHTDROP,ZEVO 400,2025,CV,Standard,None, ,Standard,Standard,Standard,Standard,
BRIGHTDROP,ZEVO 400,2025,CV,Standard,None, ,Standard,Standard,Standard,Standard,
BRIGHTDROP,ZEVO 600,2025,CV,Standard,None, ,Standard,Standard,Standard,Standard,
BRIGHTDROP,ZEVO 600,2025,CV,Standard,None, ,Standard,Standard,Standard,Standard,
BUICK,ENCLAVE,2025,SUV,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
BUICK,ENCLAVE,2025,SUV,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
BUICK,ENCORE GX,2025,SUV,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
BUICK,ENCORE GX,2025,SUV,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
BUICK,ENVISION,2025,SUV,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
BUICK,ENVISTA,2025,SUV,Optional,Optional, ,Standard,Standard,Standard,Standard,
CADILLAC,CELESTIQ,2025,4 DR,Standard,Standard, ,Standard,Standard,Standard,Standard,
CADILLAC,CT4,2025,4 DR,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
CADILLAC,CT4,2025,4 DR,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
CADILLAC,CT4-V,2025,4 DR,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
CADILLAC,CT4-V,2025,4 DR,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
CADILLAC,CT4-V BLACKWING,2025,4 DR,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
CADILLAC,CT5,2025,4 DR,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
CADILLAC,CT5,2025,4 DR,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
CADILLAC,CT5 WITH V6,2025,4 DR,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
CADILLAC,CT5 WITH V6,2025,4 DR,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
CADILLAC,CT5-V,2025,4 DR,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
CADILLAC,CT5-V,2025,4 DR,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
CADILLAC,CT5-V BLACKWING,2025,4 DR,Optional,Standard/Optional, ,Standard,Standard,Standard,Standard,
CADILLAC,ESCALADE,2025,SUV,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
CADILLAC,ESCALADE,2025,SUV,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
CADILLAC,ESCALADE ESV,2025,SUV,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
CADILLAC,ESCALADE ESV,2025,SUV,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
CADILLAC,LYRIQ,2025,SUV,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
CADILLAC,LYRIQ,2025,SUV,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
CADILLAC,OPTIQ,2025,SUV,Standard,Standard, ,Standard,Standard,Standard,Standard,
CADILLAC,XT4,2025,SUV,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
CADILLAC,XT4,2025,SUV,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
CADILLAC,XT5,2025,SUV,Optional,Standard/Optional, ,Standard,Standard,Standard,Standard,
CADILLAC,XT5,2025,SUV,Optional,Standard/Optional, ,Standard,Standard,Standard,Standard,
CADILLAC,XT6,2025,SUV,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
CADILLAC,XT6,2025,SUV,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
CHEVROLET,BLAZER,2025,SUV,Optional,Standard/Optional, ,Standard,Standard,Standard,Standard,
CHEVROLET,BLAZER,2025,SUV,Optional,Standard/Optional, ,Standard,Standard,Standard,Standard,
CHEVROLET,BLAZER EV,2025,SUV,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
CHEVROLET,BLAZER EV,2025,SUV,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
CHEVROLET,BLAZER EV,2025,SUV,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
CHEVROLET,COLORADO,2025,PU/CC,Optional,Optional, ,Standard,Standard,Standard,Standard,
CHEVROLET,COLORADO,2025,PU/CC,Optional,Optional, ,Standard,Standard,Standard,Standard,
CHEVROLET,COLORADO ZR2 BISON,2025,PU/CC,Optional,Optional, ,Standard,Standard,Standard,Standard,
CHEVROLET,CORVETTE E-RAY,2025,2 DR,Optional,Standard, ,Standard,Standard,Standard,Standard,
CHEVROLET,CORVETTE E-RAY,2025,C,Optional,Standard, ,Standard,Standard,Standard,Standard,
CHEVROLET,CORVETTE STINGRAY,2025,C,Optional,Standard, ,Standard,Standard,Standard,Standard,
CHEVROLET,CORVETTE STRINGRAY,2025,2 DR,Optional,Standard, ,Standard,Standard,Standard,Standard,
CHEVROLET,CORVETTE Z06,2025,2 DR,Optional,Standard, ,Standard,Standard,Standard,Standard,
CHEVROLET,CORVETTE Z06,2025,C,Optional,Standard, ,Standard,Standard,Standard,Standard,
CHEVROLET,CORVETTE ZR1,2025,C,Optional,Standard, ,Standard,Standard,Standard,Standard,
CHEVROLET,CORVETTE ZR1,2025,2 DR,Optional,Standard, ,Standard,Standard,Standard,Standard,
CHEVROLET,EQUINOX,2025,SUV,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
CHEVROLET,EQUINOX,2025,SUV,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
CHEVROLET,EQUINOX EV,2025,SUV,Standard,Optional, ,Standard,Standard,Standard,Standard,
CHEVROLET,EQUINOX EV,2025,SUV,Standard,Optional, ,Standard,Standard,Standard,Standard,
CHEVROLET,EXPRESS CARGO 2500,2025,CV,Optional,None, ,Optional,Optional,None,None,
CHEVROLET,EXPRESS CARGO 3500,2025,CV,Optional,None, ,Optional,Optional,None,None,
CHEVROLET,EXPRESS PASSENGER 2500 - 12 Passenger,2025,PV,Optional,None, ,Optional,Optional,None,None,
CHEVROLET,EXPRESS PASSENGER 3500 - 12 PASSENGER,2025,PV,Optional,None, ,Optional,Optional,None,None,
