MAKE,MODEL,MODEL_YR,BLIND_SPOT_DETECTION,FRNT_COLLISION_WARNING,LANE_DEPARTURE_WARNING
GENESIS,GV70,2026, ,,
TOYOTA,CROWN HYBRID,2026, ,,
ACURA,ADX,2025,Standard,Standard,Standard
ACURA,ADX,2025,Standard,Standard,Standard
ACURA,INTEGRA,2025,Standard,Standard,Standard
ACURA,INTEGRA TYPE-S,2025,Standard,Standard,Standard
ACURA,MDX,2025,Standard,Standard,Standard
ACURA,MDX,2025,Standard,Standard,Standard
ACURA,RDX,2025,Standard,Standard,Standard
ACURA,RDX,2025,Standard,Standard,Standard
ACURA,TLX,2025,Standard,Standard,Standard
ACURA,TLX,2025,Standard,Standard,Standard
ACURA,ZDX,2025,Standard,Standard,Standard
ACURA,ZDX,2025,Standard,Standard,Standard
ALFA,GIULIA,2025,Standard,Standard,Standard
ALFA,GIULIA,2025,Standard,Standard,Standard
ALFA,STELVIO,2025, ,,
ALFA,TONALE EAWD,2025,Standard,Standard,Standard
AUDI,A4,2025,Optional,Standard,Standard
AUDI,A4 ALLROAD,2025,Optional,Standard,Standard
AUDI,A5 SPORTBACK,2025,Optional,Standard,Standard
AUDI,A6 ALLROAD,2025,Optional,Standard,Standard
AUDI,A6 SEDAN,2025,Optional,Standard,Standard
AUDI,A7,2025,Optional,Standard,Standard
AUDI,A8 LWB,2025,Optional,Standard,Standard
AUDI,Q3,2025,Standard,Standard,Standard
AUDI,Q4 E-TRON,2025,Standard,Standard,Standard
AUDI,Q4 E-TRON,2025,Standard,Standard,Standard
AUDI,Q4 SPORTBACK E-TRON,2025,Standard,Standard,Standard
AUDI,Q5,2025,Standard,Standard,Standard
AUDI,Q5 PHEV,2025,Standard,Standard,Standard
AUDI,Q5 SPORTBACK,2025,Standard,Standard,Standard
AUDI,Q6 E-TRON,2025,Standard,Standard,Standard
AUDI,Q6 E-TRON,2025,Standard,Standard,Standard
AUDI,Q6 SPORTBACK E-TRON,2025,Standard,Standard,Standard
AUDI,Q7,2025,Standard,Standard,Standard
AUDI,Q8,2025,Standard,Standard,Standard
AUDI,Q8 E-TRON,2025,Standard,Standard,Standard
AUDI,Q8 SPORTBACK E-TRON,2025,Standard,Standard,Standard
AUDI,RS 5 SPORTBACK,2025,Optional,Standard,Standard
AUDI,RS 6 AVANT PERFORMANCE,2025,Optional,Standard,Standard
AUDI,RS 7 PERFORMANCE,2025,Optional,Standard,Standard
AUDI,RS Q8 PERFORMANCE,2025,Standard,Standard,Standard
AUDI,S4,2025,Optional,Standard,Standard
AUDI,S5 SPORTBACK,2025,Optional,Standard,Standard
AUDI,S6 SEDAN,2025,Optional,Standard,Standard
AUDI,S7,2025,Optional,Standard,Standard
AUDI,S8 LWB,2025,Optional,Standard,Standard
AUDI,SQ5,2025,Standard,Standard,Standard
AUDI,SQ5 SPORTBACK,2025,Standard,Standard,Standard
AUDI,SQ6 E-TRON,2025,Standard,Standard,Standard
AUDI,SQ6 SPORTBACK E-TRON,2025,Standard,Standard,Standard
AUDI,SQ7,2025,Standard,Standard,Standard
AUDI,SQ8,2025,Standard,Standard,Standard
AUDI,SQ8 E-TRON,2025,Standard,Standard,Standard
AUDI,SQ8 SPORTBACK E-TRON,2025,Standard,Standard,Standard
BMW,2 SERIES GRAN COUPE,2025, ,,
BMW,2 SERIES GRAN COUPE,2025, ,,
BMW,3 SERIES SEDAN,2025, ,,
BMW,3 SERIES SEDAN,2025, ,,
BMW,5 SERIES HYBRID SEDAN,2025, ,,
BMW,7 SERIES HYBRID SEDAN,2025, ,,
BMW,M5 HYBRID SEDAN,2025, ,,
BMW,M5 HYBRID WAGON,2025, ,,
BMW,X1,2025, ,,
BMW,X3,2025, ,,
BMW,X5,2025, ,,
BMW,X5,2025, ,,
BRIGHTDROP,ZEVO 400,2025,Standard,Standard,Standard
BRIGHTDROP,ZEVO 400,2025,Standard,Standard,Standard
BRIGHTDROP,ZEVO 600,2025,Standard,Standard,Standard
BRIGHTDROP,ZEVO 600,2025,Standard,Standard,Standard
BUICK,ENCLAVE,2025,Standard,Standard,Standard
BUICK,ENCLAVE,2025,Standard,Standard,Standard
BUICK,ENCORE GX,2025,Standard,Standard,Standard
BUICK,ENCORE GX,2025,Standard,Standard,Standard
BUICK,ENVISION,2025,Standard,Standard,Standard
BUICK,ENVISTA,2025,Optional,Standard,Standard
CADILLAC,CELESTIQ,2025,Standard,Standard,Standard
